iter	Passed	Remaining
157	231	1235
158	232	1229
159	233	1224
160	233	1217
161	234	1211
162	234	1205
163	235	1200
164	236	1194
165	236	1188
166	237	1183
167	237	1178
168	238	1173
169	239	1169
170	240	1164
171	240	1159
172	241	1154
173	242	1149
174	242	1145
175	243	1140
176	244	1135
177	244	1130
178	245	1126
179	246	1121
180	246	1117
181	247	1112
182	248	1108
183	249	1104
184	250	1102
185	250	1098
186	251	1094
187	252	1089
188	253	1085
189	253	1081
190	254	1077
191	255	1073
192	255	1068
193	256	1064
194	256	1059
195	257	1056
196	258	1052
197	258	1048
198	259	1044
199	260	1041
200	261	1037
201	261	1034
202	262	1030
203	263	1026
204	263	1022
205	264	1018
206	264	1014
207	265	1010
208	265	1006
209	266	1003
210	267	1000
211	268	997
212	269	994
213	269	991
214	270	987
215	270	983
216	271	979
217	272	976
218	272	972
219	273	968
220	273	964
221	274	961
222	274	957
223	275	954
224	276	951
225	277	948
226	277	945
227	278	942
228	278	938
229	279	935
230	279	932
231	280	928
232	281	925
233	281	921
234	282	918
235	282	915
236	283	911
237	283	908
238	284	905
239	285	902
240	285	900
241	286	897
242	287	894
243	287	891
244	288	888
245	288	885
246	289	882
247	290	879
248	290	876
249	291	873
250	291	870
251	292	867
252	293	865
253	293	862
254	294	859
255	294	856
256	295	854
257	295	851
258	296	848
259	297	845
260	297	842
261	298	840
262	298	837
263	299	834
264	299	831
265	300	829
266	301	826
267	301	824
268	302	821
269	302	819
270	303	816
271	304	814
272	305	812
273	305	809
274	306	807
275	306	804
276	307	802
277	308	800
278	308	797
279	309	795
280	309	792
281	310	790
282	311	788
283	311	785
284	312	783
285	312	781
286	313	779
287	314	776
288	314	774
289	315	772
290	316	769
291	316	767
292	317	765
293	317	762
294	318	760
295	318	758
296	319	756
297	320	753
298	320	751
299	321	749
300	321	747
301	322	745
302	323	743
303	323	741
304	324	738
305	324	736
306	325	734
307	326	732
308	326	730
309	327	728
310	327	726
311	328	724
312	329	722
313	329	720
314	330	718
315	331	716
316	331	714
317	332	712
318	332	710
319	333	708
320	333	706
321	334	704
322	335	702
323	335	700
324	336	698
325	336	696
326	337	694
327	338	693
328	338	691
329	339	689
330	339	687
331	340	685
332	341	683
333	341	681
334	342	679
335	342	677
336	343	675
337	343	673
338	344	671
339	345	669
340	345	667
341	346	666
342	346	664
343	347	662
344	348	660
345	348	658
346	349	656
347	349	655
348	350	653
349	350	651
350	351	649
351	351	647
352	352	645
353	352	643
354	353	642
355	354	640
356	354	638
357	355	636
358	355	635
359	356	633
360	357	631
361	357	630
362	358	628
363	358	626
364	359	625
365	359	623
366	360	621
367	360	619
368	361	618
369	362	616
370	362	614
371	363	613
372	363	611
373	364	610
374	365	608
375	365	607
376	366	605
377	366	603
378	367	602
379	368	600
380	368	598
381	369	597
382	369	595
383	370	593
384	370	592
385	371	590
386	371	589
387	372	587
388	373	586
389	373	584
390	374	583
391	375	581
392	375	580
393	376	578
394	376	577
395	377	575
396	377	573
397	378	572
398	379	570
399	379	569
400	380	567
401	380	566
402	381	564
403	381	563
404	382	562
405	383	560
406	383	559
407	384	557
408	384	556
409	385	554
410	386	553
411	386	551
412	387	550
413	387	548
414	388	547
415	388	545
416	389	544
417	389	542
418	390	541
419	391	540
420	391	538
421	392	537
422	392	535
423	393	534
424	394	533
425	394	531
426	395	530
427	395	528
428	396	527
429	396	526
430	397	524
431	398	523
432	398	521
433	399	520
434	399	519
435	400	518
436	401	516
437	401	515
438	402	514
439	403	513
440	403	511
441	404	510
442	405	509
443	405	507
444	406	506
445	406	505
446	407	504
447	408	503
448	408	501
449	409	500
450	410	499
451	410	497
452	411	496
453	411	495
454	412	494
455	413	492
456	413	491
457	414	490
458	414	489
459	415	487
460	415	486
461	416	485
462	417	483
463	417	482
464	418	481
465	419	480
466	419	478
467	420	477
468	420	476
469	421	475
470	421	473
471	422	472
472	422	471
473	423	469
474	423	468
475	424	467
476	425	466
477	425	464
478	426	463
479	426	462
480	427	461
481	428	460
482	428	458
483	429	457
484	429	456
485	430	455
486	431	454
487	431	452
488	432	451
489	432	450
490	433	449
491	433	448
492	434	446
493	435	445
494	435	444
495	436	443
